id,name,description,mana,created_at,updated_at,char_id,cooldown,skill_number,parent_id
156,Goddess Strike,"Increases own All DEF by ??? , and Dodge Chance by 200. A successful dodge increases DMG of normal attacks by 50% for 5 sec.",NULL,2020-07-08 11:41:02.971091,2020-07-08 11:41:02.971091,26,NULL,4,
157,Thunderbolt,"Drops 5 lightning bolts upon a random enemy, dealing ??? M.DMG and inflicting Electrify. Electrified enemy is stunned for 3 sec.",3,2020-07-08 11:41:20.942472,2020-07-08 11:41:20.942472,27,10,1,
158,Healing Rain,"Heals ??? HP of all allies over 5 times. For the duration of Skill, Kaulah gains immunity to CC and takes 50% reduced All DMG.",2,2020-07-08 11:41:32.92569,2020-07-08 11:41:32.92569,27,11,2,
159,Swift Wind,"For 15 sec, increases all allies' ATK by ???, ATK Spd by 350, and Crit Chance by 350.",4,2020-07-08 11:41:44.740648,2020-07-08 11:41:44.740648,27,15,3,
160,Chain Lightning,"Deals ??? M.DMG to 4 enemies every 15 sec, inflicts Electric Shock for 20 sec, and stuns them for 1 sec upon a Critical Hit. Enemies under Electric Shock take a total of ??? M.DMG over 20 sec.",NULL,2020-07-08 11:41:53.559342,2020-07-08 11:41:53.559342,27,NULL,4,
161,"Mm, You Better Pay Attention!","Attacks an enemy 11 times, dealing a total of ??? M.DMG. Afterward, summons a [Dark Whirlpool] for 4 sec that attack the target and nearby enemies 8 times, dealing a total of ??? M.DMG. If Nocturnal Demonic Sword, [Night Sky] is selected, DMG of self's normal attacks increases by 50% and each normal attack reduces Cooldown of this Skill by 0.5 sec.",2,2020-07-08 11:42:11.312685,2020-07-08 11:42:11.312685,28,10,1,
162,"Heh, Let's Have Some Fun!","Dispels all negative effects from self and turns into [Show Dominion] state for 5 sec. While in [Shadow Dominion] state, ATK is increased by ??? and HP does not fall below 10%. After Skill use, [Ha! Full of Openings!] can be used within 5 sec. If Umbral Demonic Sword, [Dark Shadow] is selected, the Mana Cost of this Skill is reduced by 1.",2,2020-07-08 11:42:21.994414,2020-07-08 11:42:21.994414,28,15,2,
163,Ha! Full of Openings,"Moves to the back of the enemy with the highest ATK, marking the target with [Dark Corrosion] and reducing the ATK Spd of the marked target by 500 for 10 sec. Kibera's attacks will prioritize the marked target. If [Umbral Demonic Sword, Dark Shadow] is selected, enemies inflicted with [Dark Corrosion] cannot receive positive effects, and have their Mana reduced by 250 every 1 sec.",0,2020-07-08 11:42:32.620218,2020-07-08 11:42:32.620218,28,0,2_2,162
164,Say Hello to Death!!,"Sticks [Darkslayer Demonic Sword, Veil] into the ground, creating a shockwave that deals ??? M.DMG to nearby enemies in a circular range of self and inflicts Stun for 5 sec. Afterward, for 10 sec, unloads [Dark Thunder] to a random enemy every 2 sec, dealing ??? M.DMG and inflicting Stun for 0.5 sec. If Darkslayer Demonic Sword, [Veil] is selected, the Mana Cost of all Skills increases by 1, but DMG inflicted by this Skill will ignore DEF and the Heal Rate of enemies hit by [Dark Thunder] will be reduced by 50% for 5 sec.",3,2020-07-08 11:42:44.615247,2020-07-08 11:42:44.615247,28,20,3,
165,Three Demonic Swords,"At the beginning of the first Battle, Kibera can select a demonic sword. He gains immunity to CC until he selects his sword, but he cannot recover mana during that period. Once he selects a sword, his stats and the effect of a skill will be enhanced depending on the selected sword. Nocturnal Demonic Sword, [Night Sky] - Increases ATK Spd by 300 and enhances the effect of [Mm, You Better Pay Attention]. Umbral Demonic Blade, [Dark Shadow] - Increases DEF by ??? and enhances the effect of [Heh, Let's Have Some Fun!] and [Ha! Full of Openings]. Darkslayer Demonic Sword, [Veil] - Increases ATK by ??? and enhances the effect of [Say Hello to Death!!].",NULL,2020-07-08 11:42:57.024295,2020-07-08 11:42:57.024295,28,NULL,4,
166,"Slash, Blade of Judgment!","Deals a total of ??? M.DMG over 7 attacks to nearby enemies in a circular range of self. Then, attacks frontal enemies in range, dealing ??? M.DMG and knocking them down for 3 sec.",2,2020-07-08 11:43:13.668133,2020-07-08 11:43:13.668133,29,9,1,
167,"Disperse, Crystal Haze!","Unleashes the power of Arcane Crystals within to deal ??? M.DMG to all enemies and stun them for 2 sec. Upon casting, activates [Arcane Crystal Awakening] for 15 sec, which increases ATK Spd of all allies by 300 and releases a shockwave every 2 sec to enemies in range of self, dealing ??? M.DMG and stunning them for 1 sec.",3,2020-07-08 11:43:27.737782,2020-07-08 11:43:27.737782,29,17,2,
168,"Bloom, Crimson Flower!","Summons Arcane Crystals and deals ??? M.DMG to frontal enemies in a straight line. Shortly afterward, causes an explosion that deals ??? additional M.DMG and inflicts [Arcane Crystal Curse] upon enemies for 5 sec, reducing their ATK Spd by 200. Attacking enemies under [Arcane Crystal Curse] inflicts a stack of [Arcane Crystal Energy]. [Arcane Crystal Curse] explodes after 5 sec, dealing M.DMG equal to ??? + ??? per stack of [Arcane Crystal Energy].",4,2020-07-08 11:43:41.066131,2020-07-08 11:43:41.066131,29,20,3,
169,End to Evil Deeds!,"Increases own ATK by ??? and Crit Chance by 200, while increasing the duration of CCs that all allies inflict to Bosses by 30%.",NULL,2020-07-08 11:43:52.412251,2020-07-08 11:43:52.412251,29,NULL,4,
170,Healing Droplets,"Heals HP of all allies by ??? and reduces M.DMG they take by 15% for 5 sec. If the target's HP is below 50%, Heal Rate and the amount of reduced M.DMG the target takes increases by x 1.5.",2,2020-07-08 11:44:09.317279,2020-07-08 11:44:09.317279,30,8,1,
171,Bubble Shield,"For 15 sec, casts a shield that blocks ??? DMG on the ally with the lowest HP. While the shield is in effect, it grants Immunity to CC, increases the ATK by ??? , and heals ??? HP every sec for the ally.",3,2020-07-08 11:44:20.470052,2020-07-08 11:44:20.470052,30,15,2,
172,Festival of the Flow,"Deals ??? M.DMG to nearby enemies and knocks them down. All allies, excluding self, recovers 2 orbs of mana. Afterwards, for 12 sec, creates a whirlpool that deals ??? M.DMG to random enemies and knocks them down for 2 sec.",4,2020-07-08 11:44:29.559481,2020-07-08 11:44:29.559481,30,20,3,
173,Blessing of the Water Dragon,"All allies' M.DEF is increased by ??? , and M.Crit Hit Resistance is increased by 250.",NULL,2020-07-08 11:44:37.940474,2020-07-08 11:44:37.940474,30,NULL,4,
174,Rapid Fire,"Attacks all frontal enemies in a straight line, dealing ??? P.DMG and inflicting Stun for 3 sec. If the target is not a Hero, deals ??? additional P.DMG. [Experiment Success!] Removes Cooldown.",2,2020-07-08 11:44:54.54573,2020-07-08 11:44:54.54573,31,8,1,
175,Smoke Bomb,"Deals ??? P.DMG to target and nearby enemies within range and inflicts them with [Explosive Material] for 10 sec, causing them to take 20% increased P.DMG and additionally inflicting Blind for 4 sec. [Experiment Success!] Dispels positive effects from enemies within range.",2,2020-07-08 11:45:04.287701,2020-07-08 11:45:04.287701,31,15,2,
176,Glue Bomb,"Attaches a Glue Bomb to a random enemy that explodes in 3 sec to a random enemy, dealing ??? P.DMG to the target and nearby enemies and inflicting Stun for 3 sec. If the target is inflicted with [Explosive Material], deals ??? additional P.DMG. [Experiment Success!] Glue Bomb explodes immediately after attachment.",2,2020-07-08 11:45:13.672758,2020-07-08 11:45:13.672758,31,12,3,
177,Load Cannon,"Normal attacks have a 15% chance of firing a bomb that deals ??? P.DMG to enemies within range and inflicting Stun for 2 sec. After each Skill use, Lakrak conducts and experiment. The experiment has a 50% success rate. Upon success, enhances the effects of the next skill use. Experiment does not occur when Lakrak uses the enhanced Skill.",NULL,2020-07-08 11:45:22.320764,2020-07-08 11:45:22.320764,31,NULL,4,
178,Whisper of Sand,"Attacks target enemy and deals ??? M.DMG to enemies in close range, decreasing enemy block chance by ??? and Crit resistance by 500 for 8 sec. Additionally, attacks and deals ??? M.DMG and stuns them for 3 sec.",2,2020-07-08 11:45:38.618453,2020-07-08 11:45:38.618453,32,11,1,
179,Enchanting Flow,"Increases own ATK by ??? and Crit DMG by 70% for 10 sec. Then moves a short distance forward, dealing ??? M.DMG to enemies in movement range and Charms them for 5 sec if the skill was used in the Arena. Can activate [Alluring Ambush] once within 5 sec after use.",2,2020-07-08 11:45:49.076406,2020-07-08 11:45:49.076406,32,20,2,
180,Alluring Ambush,"Attacks target enemy 3 times, dealing a total of ??? M.DMG. Deals extra ??? M.DMG ignoring the target's DEF to Boss enemies and enemies inflicted by Charm.",1,2020-07-08 11:46:00.363727,2020-07-08 11:46:00.363727,32,0,2_2,179
181,Dance of the Desert,"Attacks enemies in range 30 times, dealing a total of ??? M.DMG. Additionally throws the 'Blades of Arlaq' at random enemies 30 times, dealing a total of ??? M.DMG. Extra ??? DMG is stacked every time the blade hits the same enemy. [Blinding Acceleration] can be used once during skill activation, and the 'Blades of Arlaq' prioritize targets inflicted by Charm.",2,2020-07-08 11:46:11.350345,2020-07-08 11:46:11.350345,32,20,3,
182,Blinding Acceleration,Gains immunity to CC for 3 sec and ATK Spd is increased by 800.,1,2020-07-08 11:46:29.022375,2020-07-08 11:46:29.022375,32,0,3_2,181
183,Blessing of Oasis,"Decreases CC duration inflicted on self by ???%. Upon using a skill, gains [Blessing of Oasis] for 20 sec, increasing own Penetration by 30 and DEF by ???. [Blessing of Oasis] can be stacked up to max 10 times and cannot be dispelled.",NULL,2020-07-08 11:46:41.422034,2020-07-08 11:46:41.422034,32,NULL,4,
184,G-go Away!,"Deals ??? M.DMG to the enemy and reduces its Crit Resistance by 300 for 10 sec. Hit enemies become affected by Lavril's Ectoplasm for 5 sec, taking ??? M.DMG every 0.5 sec. Every time an enemy takes DMG from this skill, HP of all allies is healed by 5% of the DMG dealt.",2,2020-07-08 11:47:01.269992,2020-07-08 11:47:01.269992,33,10,1,
185,Bear Up...!,Heals the HP of an ally with the highest ATK by ??? and heals additional ??? HP every 1 sec for 15 sec. Increases Crit DMG of the ally by 50% + 15% of Lavril's Crit DMG for 15 sec. [You Scare Me...!] becomes available for 5 sec after casting this skill.,4,2020-07-08 11:47:10.788903,2020-07-08 11:47:10.788903,33,24,2,
186,You Scare Me...!,Deals ??? M.DMG to the enemy and reduces its ATK Spd by 250 for 15 sec while increasing M.DMG it takes by 25%.,1,2020-07-08 11:47:24.141361,2020-07-08 11:47:24.141361,33,0,2_2,185
187,Leave Me Alone...!,"Swirls a Spectral Tornado in a wide range to the front, dealing ??? M.DMG every 0.5 sec for 5 sec. Each hit reduces ATK of hit enemies by 3% for 5 sec, and increases M.DMG they take by 3%. This effect can be stacked up to max 15 times.",4,2020-07-08 11:47:39.968137,2020-07-08 11:47:39.968137,33,25,3,
188,Together Forever...,"At the beginning of the first battle, forms a Soul Link with an ally with the highest ATK. This effect cannot be dispelled. The ally bound by Soul Link has their ATK increased by ??? and recovers ??? Mana every second.",NULL,2020-07-08 11:47:50.493992,2020-07-08 11:47:50.493992,33,NULL,4,
189,Rune of Frailty,"Engraves a rune on the target, dealing up to ??? P.DMG that ignores DEF based on missing HP and reducing their P.DEF by 50% for 8 sec.",2,2020-07-08 11:48:13.946087,2020-07-08 11:48:13.946087,34,10,1,
190,Rune of Healing,Heals ??? HP of all allies.,2,2020-07-08 11:48:21.057376,2020-07-08 11:48:21.057376,34,7,2,
191,Rune of Silence,"Deals ??? P.DMG to all enemies, and dispels all positive effects. Inflicts Silences on target for 3 sec.",1,2020-07-08 11:48:32.044093,2020-07-08 11:48:32.044093,34,40,3,
192,Rune of Protection,"Every 10 sec, engraves a rune upon the ally with the lowest HP and recovers a total of ??? HP for 10 sec.",NULL,2020-07-08 11:48:41.908789,2020-07-08 11:48:41.908789,34,NULL,4,
193,Blood Orb,"Deals ??? M.DMG to target enemy, and target takes 25% increased M.DMG for 10 sec. Per every stacked Blood Curse, DMG is increased by 0.5%. Upon use, consumes 10% of current HP.",1,2020-07-08 11:49:06.895148,2020-07-08 11:49:06.895148,35,8,1,
194,Blood Zone,"Deals ??? M.DMG to target enemy and creates a Blood Zone that lasts for 10 sec around the target. Enemies within the Blood Zone receives ??? M.DMG every 0.5 sec, and M.DEF is reduced by 30%. Per every stacked Blood Curse, DMG is increased by 0.5%. Upon use, consumes 20% of current HP.",3,2020-07-08 11:49:16.522156,2020-07-08 11:49:16.522156,35,17,2,
195,Blood Banquet,"Attacks enemies in a straight line 3 times, dealing a total of ??? M.DMG and inflicting Stun for 3 sec. Per every stacked Blood Curse, DMG is increased by 0.5% Upon use, consumes 10% of current HP.",3,2020-07-08 11:49:26.785123,2020-07-08 11:49:26.785123,35,12,3,
196,Blood Dominator,"When HP is 50% or above, ATK is increased by ??? and DEF Pen. is increased by 250. Upon attack, inflicts target with Blood Curse, dealing a total of ??? M.DMG over time for 20 sec, and recovering 10% of DMG dealt from Blood Curse as HP. Blood Curse can be stacked max 100 times, and cannot be dispelled.",NULL,2020-07-08 11:49:35.458781,2020-07-08 11:49:35.458781,35,NULL,4,
197,Aqua Tempest,"For 8 sec, summons Aqua Tempest to a random target and enemies in target's range and deals ??? P.DMG every 0.5 sec. If the target is killed, Aqua Tempest is summoned to attack another random target for the remaining time.",3,2020-07-08 11:49:49.747098,2020-07-08 11:49:49.747098,36,8,1,
198,Everlasting Oasis,"When activated, turns into the Everlasting Oasis state for 15 sec. During the Everlasting Oasis state, mana recovery rate per sec is increased by 150% and ATK is increased by ???. Additionally, all DEF is increased by ???.",3,2020-07-08 11:50:00.203591,2020-07-08 11:50:00.203591,36,20,2,
199,Celestial Cataract,"Throws water drops 15 times to random enemies, dealing a total of ??? P.DMG. Additionally, throws big water drops 5 times to target and other enemies in target's range, dealing ??? P.DMG. Enemies hit by the big water drop are inflicted by Stun for 2 sec. Per each water drop thrown, ??? mana is consumed, and mana consumption rate is increased by ???. Stops use when mana becomes 0.",3,2020-07-08 11:50:09.182258,2020-07-08 11:50:09.182258,36,12,3,
200,Aqua Purification,"Mana recovery upon ATK is fixed, but own ATK is increased by ??? and mana recovery per sec is increased to 120. Per 6 mana recovery per sec, ATK is increased by 1%.",NULL,2020-07-08 11:50:17.684003,2020-07-08 11:50:17.684003,36,NULL,4,
201,Cut Ground,"Deals ??? P.DMG to frontal enemies within range and knocks them down for 4 sec, increasing P.Weakness of the affected targets by 25% for 10 sec.",2,2020-07-08 11:50:45.942042,2020-07-08 11:50:45.942042,37,8,1,
202,Shrouding Creed,Removes negative effects from all allies. Casts a shield upon all allies that absorbs ??? DMG for 5 second(s) and reduces all DMG to allies by 20% for 10 second(s). The shield grants immunity to CC while it lasts.,3,2020-07-08 11:50:54.99082,2020-07-08 11:50:54.99082,37,23,2,
203,Knight's Creed,"Hits frontal enemies within range 3 times. First 2 hits deal ??? P.DMG and stun enemies for 1.5 second(s) while the last hit attacks enemies in wider range 2 times, dealing ??? P.DMG in total. The last hit stuns enemies for 5 seconds and leaves [Mark of Creed] on the enemies, damaging them for 15 second(s). Targets with [Mark of Creed] take additional ??? P.DMG from allies excluding caster. Additional DMG effect is activated only once every 0.5 second(s).",3,2020-07-08 11:51:05.1753,2020-07-08 11:51:05.1753,37,24,3,
204,The Last Gatekeeper,"Stacks [Endurance] every second. [Endurance] cannot be dispelled, and when stacked 20 times, deals ??? P.DMG, ignoring DEF on nearby enemies and reduces ATK of affected enemies by 20% for 10 second(s). A successful block grants 1 additional [Endurance] stack. This effect is activated only once every 0.2 second(s).",NULL,2020-07-08 11:51:14.325652,2020-07-08 11:51:14.325652,37,NULL,4,
205,Thornbush Forest,"Attacks a random enemy and its nearby enemies 3 times, dealing a total of ??? M.DMG and inflicting Stun for 3 sec.",2,2020-07-08 11:51:29.191192,2020-07-08 11:51:29.191192,38,7,1,
206,Seed of Belladonna,"Creates a Seed of Belladonna around the target for 10 sec. The seed deals ??? M.DMG to nearby enemies every 2 sec, increasing M.DMG the target takes by 30% and reducing Heal Rate by 30% for 5 sec.",3,2020-07-08 11:51:38.133693,2020-07-08 11:51:38.133693,38,15,2,
207,Wrath of the Forest,"Attacks enemies within a wide frontal range of self 6 times, dealign a total of ??? M.DMG and knocking them down for 3 sec.",3,2020-07-08 11:51:48.193083,2020-07-08 11:51:48.193083,38,18,3,
208,Poison,"Normal and Skill attacks inflict Poison on a target, dealing a total of ??? continuous M.DMG and reducing Heal Rate by 5% over 20 sec. Poison can be stacked up to max 5 times.",NULL,2020-07-08 11:51:56.047349,2020-07-08 11:51:56.047349,38,NULL,4,
209,Path of Blessings,Heals 4 allies with the lowest HP by ??? and targets take ???% reduced P.DMG for 7 sec.,2,2020-07-08 11:52:13.35674,2020-07-08 11:52:13.35674,39,10,1,
210,Zone of Faith,"Sets up the [Zone of Faith] at the own location for 6 sec. Increases ATK of allies in [Zone of Faith] by ??? and dispels negative effects on them continuously. Heals allies in area by ??? every second. Deals P.DMG of ??? on enemies within [Zone of Faith] every second, and stuns them for 0.7 sec.",5,2020-07-08 11:52:25.05688,2020-07-08 11:52:25.05688,39,15,2,
211,Stigmata,"Increases P.Dodge of all allies by 250 and their ATK by ??? for 15 sec. Effects will be dispelled when the self dies. Normal attacks deal additional P.DMG of ??? to targets for 15 sec, and increases the P.DMG taken by target by 25% for 5 sec.",3,2020-07-08 11:52:35.074843,2020-07-08 11:52:35.074843,39,25,3,
212,Holy Sacrifice,"Casting Path of Blessings and Zone of Faith consumes 20% of self's current HP. Upon healing an ally with these spells, the amount of healing is increased by ??? and the target gains ??? additional DEF for 10 sec.",NULL,2020-07-08 11:52:47.487241,2020-07-08 11:52:47.487241,39,NULL,4,
213,Pew!,"Deals ??? M.DMG by shooting a bouncing projectile which bounces 3 times starting from the nearest enemy. The further the enemy, the more DMG inflicted.",2,2020-07-08 11:53:05.305311,2020-07-08 11:53:05.305311,40,8,1,
214,Look out above!,"Deals ??? M.DMG to enemies furthest away in a small range, and stuns them for 3 sec. The further the enemy, the more DMG they will take.",2,2020-07-08 11:53:13.455417,2020-07-08 11:53:13.455417,40,12,2,
215,Twinkle Twinkle,"Deals ??? M.DMG to target enemies in range, and reduces target's Crit Chance by 100% for 7 sec.",1,2020-07-08 11:53:22.500845,2020-07-08 11:53:22.500845,40,15,3,
216,Gotcha!,"When inflicted by CC, dispels negative effects from self and attacks the farthest enemy, dealing ??? M.DMG and knocking it away for 2 sec.",NULL,2020-07-08 11:53:29.878007,2020-07-08 11:53:29.878007,40,NULL,4,
217,Raven Storm,Deals ??? M.DMG to enemies in frontal range and pushes them back. Reduces M.DEF of hit enemies by 20% for 15 sec. Deals additional ??? M.DMG to Non-Hero enemies.,3,2020-07-08 12:03:17.910838,2020-07-08 12:03:17.910838,41,9,1,
218,Claw of Restriction,"Deals ??? M.DMG to 2 enemies, and shackles them for 6 sec. Hit enemies will take ??? M.DMG over 6 sec.",2,2020-07-08 12:03:28.085467,2020-07-08 12:03:28.085467,41,13,2,
219,Area of Darkness,Draws in nearby enemies towards the center 5 times and deals a total of ??? M.DMG. The last attack stuns enemies for 3 sec. Deals additional ??? M.DMG to Non-Hero enemies.,4,2020-07-08 12:03:37.604419,2020-07-08 12:03:37.604419,41,25,3,
220,Black Wind,Enemies damaged by Maria has their ATK reduced by ??? for 10 sec.,NULL,2020-07-08 12:03:47.886815,2020-07-08 12:03:47.886815,41,NULL,4,
221,Take anything!,"All allies' ATK is increased by ??? for 120 sec, and randomly grants one of the following effects: 1. DEF Penetration 70 up, 2. Atk Spd 100 up, 3. Instant Mana recovery by 500. All effects other than Mana Recovery can be stacked up to 5 times max.",1,2020-07-08 12:04:22.312367,2020-07-08 12:04:22.312367,42,8,1,
222,Cheer up!,"All allies' HP is healed by ??? , and per each sec, each ally recovers 1% of their max HP for 10 sec. There is a 10% chance the heal rate doubles.",2,2020-07-08 12:04:31.817979,2020-07-08 12:04:31.817979,42,11,2,
223,Not for sale!,"Attacks a random target and other enemies in range 3 times, dealing a total of ??? M.DMG and inflicting Stun for 4 sec. There is a 10% chance that the skill range, DMG, and Stun duration are doubled.",4,2020-07-08 12:04:41.81922,2020-07-08 12:04:41.81922,42,20,3,
224,Take this!,"Every 15 sec, deals ??? M.DMG to 4 random enemies, and randomly inflicts one of the following: 1. ??? M.DMG over time for 10 sec, 2. Stun for 2 sec, 3. Freeze for 5 sec",NULL,2020-07-08 12:04:49.921751,2020-07-08 12:04:49.921751,42,NULL,4,
225,Healing Salve,Heals all allies by ??? and makes them immune to the next single hit of DMG.,2,2020-07-08 12:05:12.842509,2020-07-08 12:05:12.842509,43,15,1,
226,Special Water Cannon,"Fires a water cannon in a frontal direction, healing allies in range of ??? HP every 0.5 sec, and dealing ??? P.DMG to the enemy.",3,2020-07-08 12:05:23.598956,2020-07-08 12:05:23.598956,43,20,2,
227,Strengthening Potion,"Injects the ally with the highest ATK with a strengthening potion, increasing their ATK by 20%+ ??? of Mediana's ATK and keeping their HP from falling below 5%.",4,2020-07-08 12:05:33.129465,2020-07-08 12:05:33.129465,43,23,3,
228,Mediana's Special Poison,"Increases all allies' ATK by ??? and P.Crit Resistance by 200. Upon attack, injects the enemy with a special poison that deals a total of ??? P.DMG over 5 sec and reduces P.Crit Resistance by 200. If there are 2 or more allies including herself, Mediana will be counted as the ally with the highest ATK.",NULL,2020-07-08 12:05:41.39577,2020-07-08 12:05:41.39577,43,NULL,4,
229,Target Lock On,"Attacks the enemy with the lowest M.DEF 3 times, dealing a total of ??? M.DMG and inflicting stun for 1 sec, and if the target is under 'Target Lock On', target takes additional ??? M.DMG. The last attack inflicts 'Target Lock On' on the enemy for 10 sec. Lock On cannot be dispelled, and the target's M.Block rate has decreased by 500.",1,2020-07-08 12:05:59.697006,2020-07-08 12:05:59.697006,44,6,1,
230,Restrain and Protect,"Deals ??? M.DMG to target enemy and other enemies in range, and Stuns them for 2 sec. Then moves to an ally with the lowest P.DEF, excluding self, and creates Shield for two that can block ??? DMG for 10 sec. Shield will be ineffective when there is no ally. Gains immunity to CC while the Shield lasts.",3,2020-07-08 12:06:08.501315,2020-07-08 12:06:08.501315,44,12,2,
231,Assassination,"Moves to an enemy with the lowest HP, deals ??? M.DMG then returns to the furthest ally. If the enemy is not a hero, deals ??? additional M.DMG that ignores DEF. Defeating a target with this skill instantly triggers 'Restrain and Protect'.",2,2020-07-08 12:06:17.331426,2020-07-08 12:06:17.331426,44,14,3,
232,Target Eliminated,"If an enemy is inflicted by 'Target Lock On', ATK increases by ??? and all attacks skills prioritize Locked On enemies. When the Locked On enemies dies, 'Target Lock On' is inflicted on another enemy for 10 sec.",NULL,2020-07-08 12:06:27.55999,2020-07-08 12:06:27.55999,44,NULL,4,
233,Baaaam!,Deals ??? P.DMG to all enemies and pushes them back.,2,2020-07-08 12:06:46.43016,2020-07-08 12:06:46.43016,45,7,1,
234,Roll Over,"Deals ??? P.DMG 3 times to frontal enemies, and each attack has a 100% chance of knocking them down for 2 sec.",2,2020-07-08 12:06:55.050072,2020-07-08 12:06:55.050072,45,13,2,
235,Miruru Pirates!,"Attacks a random target and the enemies near it 5 times, dealing a total of ??? P.DMG and reducing their ATK Spd by 400. If the target is not a Hero, deals ??? additional P.DMG.",4,2020-07-08 12:07:04.7371,2020-07-08 12:07:04.7371,45,20,3,
236,Boooooom!,"When dealing a normal attack, shoots additional bullet with a 60% chance of dealing ??? P.DMG to all enemies.",NULL,2020-07-08 12:07:14.964296,2020-07-08 12:07:14.964296,45,NULL,4,
237,Bang! Bang!!,"Attacks an enemy 2 times, dealing ??? P.DMG each. Upon Crit Hit, an explosion occurs, dealing ??? extra P.DMG to enemies in range.",1,2020-07-08 12:07:31.041064,2020-07-08 12:07:31.041064,46,6,1,
238,Time to Die!!,"For 20 sec, ATK is increased by ??? , and ACC is increased by 300. Each auto attack has a 15% chance of activating 'Bang! Bang!!'.",2,2020-07-08 12:07:44.567724,2020-07-08 12:07:44.567724,46,15,2,
239,Dance with me!!,"Rapidly shoots a random enemy 12 times, dealing a total of ??? P.DMG, and additional ??? P.DMG per Mark of Death stack. Each hit with this Skill inflicts an irremovable stack of Mark of Death on the enemy.",4,2020-07-08 12:07:54.325142,2020-07-08 12:07:54.325142,46,25,3,
240,You're Next!!,"Normal attacks inflict an irremovable stack of Mark of Death on the enemy. Whenever a normal attack or Bang! Bang! hits the target, deals ??? additional P.DMG. Each stack of Mark of Death deals ??? additional P.DMG. Mark of Death can be stacked up to max 200 times.",NULL,2020-07-08 12:08:04.456616,2020-07-08 12:08:04.456616,46,NULL,4,
241,Burning Power,"Deals ??? M.DMG to enemies in range and knocks them down, inflicting 3 stacks of Flame. Then for 15 sec, each auto attack deals ??? M.DMG and inflicts 1 stack of Flame on enemy. Per each stacked Flame, DMG is increased by 2%. Each Flame stack deals separate M.DMG and reduces Heal rate by 1%.",2,2020-07-08 12:08:16.98661,2020-07-08 12:08:16.98661,47,6,1,
242,Hellfire,"For 20 sec, all allies' M.DEF is increased by ??? and M.Block Chance is increased by 250. Additionally, every 1 sec, inflicts 1 stack of Flame on nearby enemies.",3,2020-07-08 12:08:28.984769,2020-07-08 12:08:28.984769,47,12,2,
243,Lava Eruption,"Deals ??? M.DMG to enemies in range and inflict knock down. Per every stacked Flame, DMG is increased by 2%.",3,2020-07-08 12:08:42.173241,2020-07-08 12:08:42.173241,47,20,3,
244,Fire Smash,"Upon Block, deals ??? M.DMG to enemies in range, and inflicts 3 stack of Flame.",NULL,2020-07-08 12:08:58.074307,2020-07-08 12:08:58.074307,47,NULL,4,
245,Fierce Winds,"Naila dashes toward the enemy 2 times. For her first attack, she moves behind the target, dealing ??? P.DMG and knocking it down for 3 sec. For her second attack, she moves behind the enemy with the highest ATK, dealing ??? P.DMG, knocking it down for 3 sec, and increasing the P.DMG it takes by 25% for 10 sec.",3,2020-07-08 12:09:20.947237,2020-07-08 12:09:20.947237,48,8,1,
246,Wind Reading,"Dispels negative effects from self, and casts [Wind Reading] to all allies for 20 sec, increasing their ATK by ??? and P.Dodge by 250. If an ally under [Wind Reading] successfully dodges an attack, their Crit DMG increases by 5% for 10 sec. The Crit DMG Boost effect can be stacked up to max 10 times.",1,2020-07-08 12:09:29.152979,2020-07-08 12:09:29.152979,48,20,2,
247,Dive Bomb,"Attacks nearby enemies in a circular range of self, dealing ??? P.DMG and inflicting Stun for 3 sec. 500 DEF Penetration applies to this Skill.",3,2020-07-08 12:09:38.893485,2020-07-08 12:09:38.893485,48,12,3,
248,Tornado Strike,"Increases Naila's DEF Penetration by 150 and DEF by ???. Naila's normal attacks and Skill attacks ignore target's DMG Reduction effect. Also, her normal attacks have a 15% chance to deal ??? additional P.DMG and inflict Stun for 1 sec.",NULL,2020-07-08 12:09:49.685062,2020-07-08 12:09:49.685062,48,NULL,4,
249,Black Lightning Claw,Draws enemies towards the target and deals ??? M.DMG. Deals ??? M.DMG around the target after 1 sec and stuns them for 3 sec. Reduces ATK Spd of hit enemies by 300 for 10 sec.,2,2020-07-08 12:10:05.18798,2020-07-08 12:10:05.18798,49,8,1,
250,Obsidian Roar,"Increases ATK, P.DEF, and M.DEF of all allies by ??? for 15 sec. Deals ??? M.DMG to all enemies and reduces their ATK by 30% for 15 sec.",3,2020-07-08 12:10:15.3381,2020-07-08 12:10:15.3381,49,15,2,
251,Breath of Destruction,Deals a total of ??? M.DMG to enemies within a large area around the target over 6 times and reduces their M.DEF by 20% for 15 sec. Each hit stuns the enemy for 1 sec.,4,2020-07-08 12:10:24.000933,2020-07-08 12:10:24.000933,49,20,3,
252,Black Dragon Hide,Increases P.DEF and M.DEF by ??? and takes reduced P.DMG and M.DMG by 15%.,NULL,2020-07-08 12:10:32.355894,2020-07-08 12:10:32.355894,49,NULL,4,
253,Scar of Barbarism,"Deals ??? P.DMG to 1 enemy. Then, moves forward while continuously attacking the nearby area and knocking back hit enemies to deal a total of ??? P.DMG. The last strike deals ??? P.DMG to frontal enemies and knocks them down for 2 sec.",3,2020-07-08 12:10:53.940942,2020-07-08 12:10:53.940942,50,15,1,
