id,name,description,tier,created_at,updated_at,sequence,perk_type
173,Advent of the Dark Lord [Light],Increases P.Block Chance by 400 for the duration of Skill,Dark Lord Kasel,2020-06-18 12:52:52.328934,2020-06-18 12:52:52.328934,s3l,hero
174,Advent of the Dark Lord [Dark],Increases DMG of normal attacks by 50% for the duration of Skill,Dark Lord Kasel,2020-06-18 12:52:58.998271,2020-06-18 12:52:58.998271,s3d,hero
175,One Fallen to Darkness [Light],"At the beginning of each battle, gains 10 stacks of [Dark Energy]",Dark Lord Kasel,2020-06-18 12:53:11.126635,2020-06-18 12:53:11.126635,s4l,hero
176,One Fallen to Darkness [Dark],"When there is 1 enemy, gains 2 additional stacks of [Dark Energy]",Dark Lord Kasel,2020-06-18 12:53:17.950125,2020-06-18 12:53:17.950125,s4d,hero
177,Penetration [Light],"In exchange for 1 additional Mana Cost, pull in 2 enemies",Demia,2020-06-18 12:53:36.952032,2020-06-18 12:53:36.952032,s1l,hero
178,Penetration [Dark],All pulled enemies take 25% increased DMG from all sources for 10 sec,Demia,2020-06-18 12:53:43.864239,2020-06-18 12:53:43.864239,s1d,hero
179,Will to Win [Light],Mana cost is reduced by 1,Demia,2020-06-18 12:53:56.454418,2020-06-18 12:53:56.454418,s2l,hero
180,Will to Win [Dark],Ally P.DEF is boosted by 20% for 10 sec after activation,Demia,2020-06-18 12:54:02.997586,2020-06-18 12:54:02.997586,s2d,hero
181,Steel Fortress [Light],"Upon jumping into the air, charge at the target with the highest ATK",Demia,2020-06-18 12:54:14.831915,2020-06-18 12:54:14.831915,s3l,hero
182,Steel Fortress [Dark],"While casting, all allies take 20% reduced P.DMG",Demia,2020-06-18 12:54:22.908464,2020-06-18 12:54:22.908464,s3d,hero
183,Spearhead [Light],P.DEF is increased by 20% and P. Block is boosted by 50%,Demia,2020-06-18 12:54:32.23702,2020-06-18 12:54:32.23702,s4l,hero
184,Spearhead [Dark],Recovers HP equal to 40% of P.DEF upon blocking,Demia,2020-06-18 12:54:38.423136,2020-06-18 12:54:38.423136,s4d,hero
185,Dark Rampage [Light],"If there is 1 enemy, DMG is increased by 100%",Dimael,2020-06-18 13:00:37.97519,2020-06-18 13:00:37.97519,s1l,hero
186,Dark Rampage [Dark],Has a 25% chance of Blinding the enemy for 5 sec,Dimael,2020-06-18 13:00:46.988036,2020-06-18 13:00:46.988036,s1d,hero
187,Black Shackle [Light],Mana cost is reduced by 1,Dimael,2020-06-18 13:00:57.022979,2020-06-18 13:00:57.022979,s2l,hero
188,Black Shackle [Dark],Hit enemies are drawn together,Dimael,2020-06-18 13:01:03.223681,2020-06-18 13:01:03.223681,s2d,hero
189,Shadow Wave [Light],Mana cost is increased by 1 orb but DMG is boosted by 100%,Dimael,2020-06-18 13:01:19.476605,2020-06-18 13:01:19.476605,s3l,hero
190,Shadow Wave [Dark],Dispels positive effects of all enemies in range,Dimael,2020-06-18 13:01:32.372627,2020-06-18 13:01:32.372627,s3d,hero
191,Black Stain [Light],DMG is increased by 40%,Dimael,2020-06-18 13:01:42.782783,2020-06-18 13:01:42.782783,s4l,hero
192,Black Stain [Dark],There is a 10% chance that Skill 1 is fired upon an auto-attack,Dimael,2020-06-18 13:01:49.968069,2020-06-18 13:01:49.968069,s4d,hero
193,This Will Hurt! [Light],Recovers 1 orb of Mana of allies within range,Dosarta,2020-06-18 13:02:15.87094,2020-06-18 13:02:15.87094,s1l,hero
194,This Will Hurt! [Dark],Reduces a target's M.Block by 500 for 5 sec,Dosarta,2020-06-18 13:02:24.701272,2020-06-18 13:02:24.701272,s1d,hero
195,On Guard! [Light],Reduces Mana Cost by 1,Dosarta,2020-06-18 13:02:39.313551,2020-06-18 13:02:39.313551,s2l,hero
196,On Guard! [Dark],Gains immunity to CC for 2 sec,Dosarta,2020-06-18 13:02:46.762948,2020-06-18 13:02:46.762948,s2d,hero
197,Hya! Kya! Take this! [Light],Gains immunity to CC for the duration of skill,Dosarta,2020-06-18 13:03:20.225518,2020-06-18 13:03:20.225518,s3l,hero
198,Hya! Kya! Take this! [Dark],Increases the amount of M.DMG that a target takes by 25% for 10 sec,Dosarta,2020-06-18 13:03:28.801334,2020-06-18 13:03:28.801334,s3d,hero
199,Let Us Challenge Together! [Light],DEF Boost effects become irremovable,Dosarta,2020-06-18 13:03:38.992988,2020-06-18 13:03:38.992988,s4l,hero
200,Let Us Challenge Together! [Dark],Cooldown changes to 4 sec,Dosarta,2020-06-18 13:03:44.103694,2020-06-18 13:03:44.103694,s4d,hero
201,Absorbing Blow [Light],"If there is 1 enemy, DMG is increased by 100%",Epis,2020-06-18 13:08:18.828248,2020-06-18 13:08:18.828248,s1l,hero
202,Absorbing Blow [Dark],Ignores enemy Block,Epis,2020-06-18 13:08:24.513254,2020-06-18 13:08:24.513254,s1d,hero
203,Nightmare [Light],Mana cost is reduced by 1,Epis,2020-06-18 13:08:37.251107,2020-06-18 13:08:37.251107,s2l,hero
204,Nightmare [Dark],"Mana consumption is increased by 1, and upon using the skill, 'Absorbing Blow' is activated. Cannot use when there are no enemies in range",Epis,2020-06-18 13:08:43.511919,2020-06-18 13:08:43.511919,s2d,hero
205,Devil's Prom [Light],DMG is increased by 40%,Epis,2020-06-18 13:08:57.556685,2020-06-18 13:08:57.556685,s3l,hero
206,Devil's Prom [Dark],DMG taken is reduced by 50% while skill is in use,Epis,2020-06-18 13:09:04.521579,2020-06-18 13:09:04.521579,s3d,hero
207,Harvest [Light],Each stack increases Mana recovery per sec by 50%,Epis,2020-06-18 13:09:17.153045,2020-06-18 13:09:17.153045,s4l,hero
208,Harvest [Dark],"While stack number is higher than 5, Mana is always at 100% and cooldowns are decreased by an additional 1 sec per each sec",Epis,2020-06-18 13:09:23.013516,2020-06-18 13:09:23.013516,s4d,hero
209,Sweet Blood [Light],Recovers 150 Mana every hit,Erze,2020-06-18 13:59:32.562993,2020-06-18 13:59:32.562993,s1l,hero
210,Sweet Blood [Dark],Each use increases DMG by 10%. Stacks 30 times max,Erze,2020-06-18 13:59:43.912647,2020-06-18 13:59:43.912647,s1d,hero
211,Soaking Blood [Light],Stuns the target for 3 sec upon hit,Erze,2020-06-18 14:00:41.793613,2020-06-18 14:00:41.793613,s2l,hero
212,Soaking Blood [Dark],Mana cost is reduced by 1,Erze,2020-06-18 14:00:48.409956,2020-06-18 14:00:48.409956,s2d,hero
213,Blood Liberation [Light],Recovers 75 Mana every hit,Erze,2020-06-18 14:01:02.259327,2020-06-18 14:01:02.259327,s3l,hero
214,Blood Liberation [Dark],Mana cost is increased by 1 orb but DMG is boosted by 100%,Erze,2020-06-18 14:01:09.743284,2020-06-18 14:01:09.743284,s3d,hero
215,Life Drinker [Light],Increases Max HP by 100% upon killing an enemy and changes the Max HP reduction after auto-casting [Soaking Blood] to 33%,Erze,2020-06-18 14:01:18.619633,2020-06-18 14:01:18.619633,s4l,hero
216,Life Drinker [Dark],"Increases ATK by 200% upon killing an enemy, but Max HP boost does not apply",Erze,2020-06-18 14:01:33.07947,2020-06-18 14:01:33.07947,s4d,hero
217,This Is My Game [Light],Increases DMG by 100% when there is only 1 enemy left,Esker,2020-06-18 14:02:15.180535,2020-06-18 14:02:15.180535,s1l,hero
218,This Is My Game [Dark],Reduces ATK Spd of the enemy by 200 for 10 sec,Esker,2020-06-18 14:02:22.033115,2020-06-18 14:02:22.033115,s1d,hero
219,My Turn [Light],"Increases Mana Cost by 1, but rolls 6 every time",Esker,2020-06-18 14:07:57.303906,2020-06-18 14:07:57.303906,s2l,hero
220,My Turn [Dark],Reduces Mana Cost by 1,Esker,2020-06-18 14:08:48.917738,2020-06-18 14:08:48.917738,s2d,hero
221,Shall I Try My Luck? [Light],DMG increase effect will activate after the Cooldown Reduction effect activates at max stack first,Esker,2020-06-18 14:09:04.157619,2020-06-18 14:09:04.157619,s3l,hero
222,Shall I Try My Luck? [Dark],"Changes the target to 4 enemies, but reduces Cooldown by 50% upon killing an enemy",Esker,2020-06-18 14:09:10.19585,2020-06-18 14:09:10.19585,s3d,hero
223,This Is Not a Trick [Light],Increases the max number of stacks by 3,Esker,2020-06-18 14:09:18.675297,2020-06-18 14:09:18.675297,s4l,hero
224,This Is Not a Trick [Dark],Increases DMG against Non-Hero enemies by 3% per stack,Esker,2020-06-18 14:09:25.226528,2020-06-18 14:09:25.226528,s4d,hero
225,Purification of Life / Uproar of Naav Gehen [Light],[Purification of Life] Reduces Cooldown of the Skill by 5 sec,Evan,2020-06-18 14:09:58.471163,2020-06-18 14:09:58.471163,s1l,hero
226,Purification of Life / Uproar of Naav Gehen [Dark],[Uproar of Naav Gehen] Changes the duration of the P.DMG Boost effect to 20 sec,Evan,2020-06-18 14:10:05.954255,2020-06-18 14:10:05.954255,s1d,hero
227,Magic Circle of Life / Naav Gehen of Gluttony [Light],[Magic Circle of Life] Increases CC Resist by 500 for the duration of the magic circle,Evan,2020-06-18 14:10:22.025512,2020-06-18 14:10:22.025512,s2l,hero
228,Magic Circle of Life / Naav Gehen of Gluttony [Dark],[Naav Gehen of Gluttony] Reduces Mana Cost by 1,Evan,2020-06-18 14:10:31.7289,2020-06-18 14:10:31.7289,s2d,hero
229,Origin of Life / Rampage of Naav Gehen [Light],"[Origin of Life] The Shield becomes irremovable, but reduces the shield to 50%",Evan,2020-06-18 14:10:48.047971,2020-06-18 14:10:48.047971,s3l,hero
230,Origin of Life / Rampage of Naav Gehen [Dark],[Rampage of Naav Gehen] Each hit reduces the target's Mana by 300,Evan,2020-06-18 14:10:53.507668,2020-06-18 14:10:53.507668,s3d,hero
231,Alchemy of Green [Light],Changes P.DMG Reduction to 25%,Evan,2020-06-18 14:11:50.732902,2020-06-18 14:11:50.732902,s4l,hero
232,Alchemy of Green [Dark],"At the beginning of the first battle, Evan starts as 'Alchemist of the Dark Evan' and gains immunity to CC for 5 sec",Evan,2020-06-18 14:11:59.0059,2020-06-18 14:11:59.0059,s4d,hero
233,Destructive Instinct [Light],DMG is increased by 40%,Ezekiel,2020-06-18 14:13:50.835628,2020-06-18 14:13:50.835628,s1l,hero
234,Destructive Instinct [Dark],"After activation, ATK is increased by 40% for 5 sec",Ezekiel,2020-06-18 14:13:56.092557,2020-06-18 14:14:15.560007,s1d,hero
235,Dawning Despair [Light],Mana cost is reduced by 1,Ezekiel,2020-06-18 14:14:36.955031,2020-06-18 14:14:36.955031,s2l,hero
236,Dawning Despair [Dark],"When activated during Fury state, ignores target DEF",Ezekiel,2020-06-18 14:14:43.391788,2020-06-18 14:14:43.391788,s2d,hero
237,Strike of Doom [Light],Becomes immune to CC during activation,Ezekiel,2020-06-18 14:14:52.66623,2020-06-18 14:14:52.66623,s3l,hero
238,Strike of Doom [Dark],"If there is 1 enemy, DMG is increased by 100%",Ezekiel,2020-06-18 14:14:58.546387,2020-06-18 14:14:58.546387,s3d,hero
239,Cursed Blood [Light],"When in Fury state, heal rate is increased by 50%",Ezekiel,2020-06-18 14:15:09.421411,2020-06-18 14:15:09.421411,s4l,hero
240,Cursed Blood [Dark],"Per every stacked 'Cursed Blood', takes 12% reduced DMG",Ezekiel,2020-06-18 14:15:15.272604,2020-06-18 14:15:15.272604,s4d,hero
241,Light of Doom [Light],Increases All DMG the hit enemies takes by 20% for 10 sec,Fallen Frey,2020-06-18 14:15:38.409276,2020-06-18 14:15:38.409276,s1l,hero
242,Light of Doom [Dark],ncreases Mana Cost by 1 and Heal Rate by 100%,Fallen Frey,2020-06-18 14:15:44.592701,2020-06-18 14:15:44.592701,s1d,hero
243,Blessing of Doom [Light],Changes the target of shield to all allies,Fallen Frey,2020-06-18 14:15:56.172624,2020-06-18 14:15:56.172624,s2l,hero
244,Blessing of Doom [Dark],Increases All Block Chance of shielded allies by 400,Fallen Frey,2020-06-18 14:16:03.102605,2020-06-18 14:16:03.102605,s2d,hero
245,Heaven's Vengeance [Light],Increases DMG by 40%,Fallen Frey,2020-06-18 14:16:16.700146,2020-06-18 14:16:16.700146,s3l,hero
246,Heaven's Vengeance [Dark],Each hit reduces Mana by 200,Fallen Frey,2020-06-18 14:16:24.79861,2020-06-18 14:16:24.79861,s3d,hero
247,Tainted Angel [Light],"At the beginning of the first battle, grants [Blessing of the Fallen Angel] to all allies excluding self, reducing All DMG the targets take by 10% and increasing All DEF by 20%. The [Blessing of the Fallen Angel] effect is irremovable",Fallen Frey,2020-06-18 14:16:34.229817,2020-06-18 14:16:34.229817,s4l,hero
248,Tainted Angel [Dark],"At the beginning of the first battle, grants [Bond of the Fallen Angel] to 1 ally with the highest ATK excluding self, increasing the targets ATK Spd by 200 and ATK euqal to 7% of Fallen Frey's ATK. The [Bond of the Fallen Angel] effect is irremovable",Fallen Frey,2020-06-18 14:16:57.469819,2020-06-18 14:16:57.469819,s4d,hero
249,Tempest Blade [Light],Ignores DEF when there is only 1 enemy,Fluss,2020-06-18 14:17:46.229749,2020-06-18 14:17:46.229749,s1l,hero
250,Tempest Blade [Dark],"Upon a Crit Hit, cooldown is reduced by 6%",Fluss,2020-06-18 14:17:53.486183,2020-06-18 14:17:53.486183,s1d,hero
251,Flashstep [Light],"In exchange for 1 additional Mana Cost, cooldown is reduced by 5 sec",Fluss,2020-06-18 14:18:06.12873,2020-06-18 14:18:06.12873,s2l,hero
252,Flashstep [Dark],Dispels positive effects from enemy,Fluss,2020-06-18 14:18:12.905388,2020-06-18 14:18:12.905388,s2d,hero
253,Bloody Petals [Light],Each Critical Hit increases the last hit's DMG by 10%,Fluss,2020-06-18 14:18:23.566584,2020-06-18 14:18:23.566584,s3l,hero
254,Bloody Petals [Dark],"While in cooldown, auto attack DMG is boosted by 50%",Fluss,2020-06-18 14:18:33.342321,2020-06-18 14:18:33.342321,s3d,hero
255,Spell Cutter [Light],"Upon dodging, raise own ATK by 3%. Stacks up to 10 times",Fluss,2020-06-18 14:18:50.493653,2020-06-18 14:18:50.493653,s4l,hero
256,Spell Cutter [Dark],Has a 30% chance to stun enemies for 3 sec,Fluss,2020-06-18 14:18:57.014384,2020-06-18 14:18:57.014384,s4d,hero
257,Miraculous Light [Light],"In exchange for 1 additional Mana Cost, the skill targets 2 allies",Frey,2020-06-18 14:21:51.252875,2020-06-18 14:21:51.252875,s1l,hero
258,Miraculous Light [Dark],Healed allies take 25% reduced M.DMG for 10 sec,Frey,2020-06-18 14:21:59.258784,2020-06-18 14:21:59.258784,s1d,hero
259,Blessings of Light [Light],Shield is increased by 40%,Frey,2020-06-18 14:22:10.179681,2020-06-18 14:22:10.179681,s2l,hero
260,Blessings of Light [Dark],Shielded allies gain 20% ATK,Frey,2020-06-18 14:22:16.086779,2020-06-18 14:22:16.086779,s2d,hero
261,Heaven's Vengeance [Light],"In exchange for 1 additional Mana Cost, DMG is increased by 80%",Frey,2020-06-18 14:22:31.365771,2020-06-18 14:22:31.365771,s3l,hero
262,Heaven's Vengeance [Dark],Blind duration is reduced by 2 sec and now targets a random enemy,Frey,2020-06-18 14:22:38.280895,2020-06-18 14:22:38.280895,s3d,hero
263,Goddess Grace [Light],Target's ATK Spd. is boosted by 250,Frey,2020-06-18 14:22:47.153755,2020-06-18 14:22:47.153755,s4l,hero
264,Goddess Grace [Dark],Number of targets changes to 2,Frey,2020-06-18 14:22:52.553168,2020-06-18 14:22:52.553168,s4d,hero
265,Smash [Light],Mana cost is reduced by 1,Gau,2020-06-18 14:23:10.400422,2020-06-18 14:23:10.400422,s1l,hero
266,Smash [Dark],Each use increases DMG by 15%. Stacks 10 times max,Gau,2020-06-18 14:23:17.080968,2020-06-18 14:23:17.080968,s1d,hero
267,Battle Roar [Light],ATK boost is increased by 40%,Gau,2020-06-18 14:23:29.736583,2020-06-18 14:23:29.736583,s2l,hero
268,Battle Roar [Dark],ATK Spd boost of 200 is added to the effect,Gau,2020-06-18 14:23:34.162721,2020-06-18 14:23:34.162721,s2d,hero
269,Vortex [Light],Cooldown reduced by 3 sec,Gau,2020-06-18 14:23:58.629596,2020-06-18 14:23:58.629596,s3l,hero
270,Vortex [Dark],Immune to all types of DMG while in use,Gau,2020-06-18 14:24:03.564772,2020-06-18 14:24:03.564772,s3d,hero
271,Enrage [Light],ATK boost is increased by 40%,Gau,2020-06-18 14:24:12.087155,2020-06-18 14:24:12.087155,s4l,hero
272,Enrage [Dark],"Takes 5% more DMG per each stack, but gains a boost of 50 Crit Chance and Lifesteal per each stack as well",Gau,2020-06-18 14:24:15.787138,2020-06-18 14:24:15.787138,s4d,hero
273,Quick Strikes [Light],"When there is 1 enemy, DMG is boosted by 100%",Gladi,2020-06-18 14:24:42.076345,2020-06-18 14:24:42.076345,s1l,hero
274,Quick Strikes [Dark],P.DMG taken increase effect amount is changed to 50%,Gladi,2020-06-18 14:24:48.160811,2020-06-18 14:24:48.160811,s1d,hero
275,Advent of the War God [Light],War God state lasts 5 seconds longer,Gladi,2020-06-18 14:25:01.651931,2020-06-18 14:25:01.651931,s2l,hero
276,Advent of the War God [Dark],Additional DMG hit chance rises by 20%,Gladi,2020-06-18 14:25:05.788321,2020-06-18 14:25:05.788321,s2d,hero
277,Ultimate Punch! [Light],DMG is increased by 40%,Gladi,2020-06-18 14:25:15.517961,2020-06-18 14:25:15.517961,s3l,hero
278,Ultimate Punch! [Dark],Mana cost is reduced by 1,Gladi,2020-06-18 14:25:21.918328,2020-06-18 14:25:21.918328,s3d,hero
279,This will hurt! [Light],"When there is 1 enemy, DMG is boosted by 100%",Gladi,2020-06-18 14:25:30.810403,2020-06-18 14:25:30.810403,s4l,hero
280,This will hurt! [Dark],"When activated in the Arena, deal 15% of the target's current HP as additional P.DMG that ignores DEF",Gladi,2020-06-18 14:25:36.826715,2020-06-18 14:25:36.826715,s4d,hero
281,That Is It [Light],Mana Cost increases by 1. DMG dealt to Non-Hero enemies now ignores DEF,Glenwys,2020-06-18 14:26:02.51232,2020-06-18 14:26:02.51232,s1l,hero
282,That Is It [Dark],Reduces target's ATK Spd by 250 for 10 sec,Glenwys,2020-06-18 14:26:10.577141,2020-06-18 14:26:10.577141,s1d,hero
283,I Will Not Stay My Hand [Light],Increases the amount of P.DMG that a target takes by 25% for 10 sec,Glenwys,2020-06-18 14:26:19.357218,2020-06-18 14:26:19.357218,s2l,hero
284,I Will Not Stay My Hand [Dark],The duration of Stun increases by 0.5 sec,Glenwys,2020-06-18 14:26:25.726196,2020-06-18 14:26:25.726196,s2d,hero
285,Time For Counterattack [Light],Reduces target's P.Crit Resistance by 250 for 10 sec,Glenwys,2020-06-18 14:26:38.566843,2020-06-18 14:26:38.566843,s3l,hero
286,Time For Counterattack [Dark],Mana Cost is increases by 1 and the amount of ATK and DEF boost increases by 100%,Glenwys,2020-06-18 14:26:45.321311,2020-06-18 14:26:45.321311,s3d,hero
287,Pride of Imperial Knights [Light],DMG effect dealt to Non-Hero enemies is now 20%,Glenwys,2020-06-18 14:26:53.945786,2020-06-18 14:26:53.945786,s4l,hero
288,Pride of Imperial Knights [Dark],DMG effect received from Non-Hero enemies is now 20%,Glenwys,2020-06-18 14:26:57.800007,2020-06-18 14:26:57.800007,s4d,hero
289,I See Through Your Every Move! [Light],Removes positive effects from the target,Hanus,2020-06-18 14:27:17.417715,2020-06-18 14:27:17.417715,s1l,hero
290,I See Through Your Every Move! [Dark],"Hanus now gains 40 Ammo, increasing own ATK by 3% for 60 sec upon gaining an Ammo. The ATK Boost effect can be stacked up to max 5 times",Hanus,2020-06-18 14:27:22.729848,2020-06-18 14:27:22.729848,s1d,hero
291,Shoot You Full of Holes! [Light],"Ammo usage is increased to 3 , but while Hanus is in the state of consuming Ammo, Hanus' Crit DMG is increased by 150%",Hanus,2020-06-18 14:28:13.446069,2020-06-18 14:28:13.446069,s2l,hero
292,Shoot You Full of Holes! [Dark],Hanus no longer takes additional DMG from enemies,Hanus,2020-06-18 14:28:18.835321,2020-06-18 14:28:18.835321,s2d,hero
293,Hide If You Can! [Light],Ignores the target's DMG Reduction effects in Guild War,Hanus,2020-06-18 14:28:27.847313,2020-06-18 14:28:27.847313,s3l,hero
294,Hide If You Can! [Dark],"Hanus now gains 80 Ammo, increasing own DEF Penetration by 60 for 60 sec upon gaining an Ammo. The DEF Penetration Boost can be stacked up to max 5 times",Hanus,2020-06-18 14:28:34.50354,2020-06-18 14:28:34.50354,s3d,hero
295,I Shall Train You Hard! [Light],"At the beginning of a Guild War battle, reduces DMG that all allies take by 20% for 6 sec",Hanus,2020-06-18 14:28:44.103232,2020-06-18 14:28:44.103232,s4l,hero
296,I Shall Train You Hard! [Dark],Hanus gains 30 Ammo every 10 sec,Hanus,2020-06-18 14:28:49.580396,2020-06-18 14:28:49.580396,s4d,hero
297,Funeral Rites [Light],Target takes 25% increased M.DMG for 10 sec,Jane,2020-06-18 14:30:04.488058,2020-06-18 14:30:04.488058,s1l,hero
298,Funeral Rites [Dark],"In exchange for 1 additional Mana Cost, the skill has a 100% chance to draw the target in",Jane,2020-06-18 14:30:12.779365,2020-06-18 14:30:12.779365,s1d,hero
299,Mark of Death [Light],Duration is reduced to 10 sec and DMG is boosted by 250%,Jane,2020-06-18 14:30:27.695791,2020-06-18 14:30:27.695791,s2l,hero
300,Mark of Death [Dark],Engraved Mark is not be dispelled when negative effects are dispelled,Jane,2020-06-18 14:30:38.821302,2020-06-18 14:30:38.821302,s2d,hero
301,Day of Ruin [Light],DMG is increased by 40%,Jane,2020-06-18 14:30:49.787582,2020-06-18 14:30:49.787582,s3l,hero
302,Day of Ruin [Dark],"Upon use, dispels negative effects of all allies.",Jane,2020-06-18 14:30:57.920954,2020-06-18 14:30:57.920954,s3d,hero
303,Rest in Peace [Light],"Upon activation, displels positive effects of all enemies.",Jane,2020-06-18 14:31:07.299879,2020-06-18 14:31:07.299879,s4l,hero
304,Rest in Peace [Dark],"Upon activation, stun all enemies for 2 sec",Jane,2020-06-18 14:31:11.648722,2020-06-18 14:31:11.648722,s4d,hero
305,Best Dish / Juno's Spicy Special [Light],[Best Dish] Increases ATK of the target by 15% for the duration of skill. [Juno's Spicy Special] Target takes 25% increased P.DMG for 10 sec,Juno,2020-06-18 14:31:34.624758,2020-06-18 14:31:34.624758,s1l,hero
306,Best Dish / Juno's Spicy Special [Dark],[Best Dish] Increases Crit Chance of the target by 150 for the duration of skill. [Juno's Spicy Special] Reduces Mana Cost by 1,Juno,2020-06-18 14:31:42.296518,2020-06-18 14:31:42.296518,s1d,hero
307,"Power-up / Help Yourself, Then Get Lost! [Light]","[Power-up] Increases Mana Cost by 1, but casts shields on 2 targets. [Help Yourself, Then Get Lost!] Reduces ATK Spd of hit enemy by 200 for 10 seconds",Juno,2020-06-18 14:32:01.740985,2020-06-18 14:32:01.740985,s2l,hero
308,"Power-up / Help Yourself, Then Get Lost! [Dark]","[Power-up] Reduces Mana Cost by 1. [Help Yourself, Then Get Lost!] Increases Cooldown of hit enemy's active skills by 2 seconds",Juno,2020-06-18 14:32:07.873318,2020-06-18 14:32:07.873318,s2d,hero
309,Cook from Hell [Light],Increases Heal Rate by 100%,Juno,2020-06-18 14:32:59.683392,2020-06-18 14:32:59.683392,s3l,hero
310,Cook from Hell [Dark],Recovers 1 orb of Mana upon use,Juno,2020-06-18 14:33:07.87766,2020-06-18 14:33:07.87766,s3d,hero
311,Open for Business! [Light],Increases Crit Chance of all allies by 200,Juno,2020-06-18 14:33:17.056656,2020-06-18 14:33:17.056656,s4l,hero
312,Open for Business! [Dark],Reduces DEF Penetration of all enemies by 200,Juno,2020-06-18 14:33:22.515212,2020-06-18 14:33:22.515212,s4d,hero
313,Anti-personnel Laser / Siege Laser [Light],[Anti-personnel Laser] - Recovers 200 MP upon a Crit Hit. [Siege Laser] - Increases Mana Cost by 1 and DMG by 100%,Kara,2020-06-18 14:33:41.236124,2020-06-18 14:33:41.236124,s1l,hero
314,Anti-personnel Laser / Siege Laser [Dark],[Anti-personnel Laser] - Reduces 300 MP of the enemy that took the DMG. [Siege Laser] - Reduces Mana Cost by 1,Kara,2020-06-18 14:33:48.294847,2020-06-18 14:33:48.294847,s1d,hero
315,Wide-area Cannon / Focused Fire [Light],[Wide-area Cannon] - Increases the Stun duration by 1 second. [Focused Fire] - Stacks 1 additional Focused Fire,Kara,2020-06-18 14:34:02.364322,2020-06-18 14:34:02.364322,s2l,hero
316,Wide-area Cannon / Focused Fire [Dark],[Wide-area Cannon] - Reduces Mana Cost by 1. [Focused Fire] - Increases the Max Stack of Focused Fire to 60,Kara,2020-06-18 14:34:08.292752,2020-06-18 14:34:08.292752,s2d,hero
317,Release Siege Weapon [Light],Increases DMG by 100% when there is only 1 enemy,Kara,2020-06-18 14:34:20.010761,2020-06-18 14:34:20.010761,s3l,hero
318,Release Siege Weapon [Dark],Reduces all skill cooldown by 3% upon a Crit Hit,Kara,2020-06-18 14:34:27.426077,2020-06-18 14:34:27.426077,s3d,hero
319,Essence of Technomagic [Light],MP Recovery triples when there is only one enemy,Kara,2020-06-18 14:35:06.751998,2020-06-18 14:35:06.751998,s4l,hero
320,Essence of Technomagic [Dark],"[Anti-personnel Weapon] - Decreases ATK by 20%, but increases MP Recovery/Sec by 100%. [Siege Weapon] - Decreases all DEF by 60%, but increases Crit DMG by 140%",Kara,2020-06-18 14:35:19.236445,2020-06-18 14:35:19.236445,s4d,hero
321,Judgment Blade [Light],Mana cost is reduced by 1,Kasel,2020-06-22 08:55:18.643633,2020-06-22 08:55:18.643633,s1l,hero
322,Judgment Blade [Dark],Ignores DEF when there is only 1 enemy,Kasel,2020-06-22 08:55:36.778321,2020-06-22 08:55:36.778321,s1d,hero
323,Valiant Dash [Light],Mana cost is reduced by 1,Kasel,2020-06-22 08:55:49.337328,2020-06-22 08:55:49.337328,s2l,hero
324,Valiant Dash [Dark],Target takes 25% increased P.DMG for 10 sec,Kasel,2020-06-22 08:55:56.322277,2020-06-22 08:55:56.322277,s2d,hero
325,Proxy of God [Light],Mana cost is reduced by 1,Kasel,2020-06-22 08:57:11.49807,2020-06-22 08:57:11.49807,s3l,hero
326,Proxy of God [Dark],Increases Mana Cost by 1 and DMG dealt to Non-Hero enemies by 100% for the duration of Skill,Kasel,2020-06-22 08:57:18.445405,2020-06-22 08:57:18.445405,s3d,hero
327,Goddess Strike [Light],DMG Boost of normal attacks is changed to 100%,Kasel,2020-06-22 08:57:31.67193,2020-06-22 08:57:31.67193,s4l,hero
328,Goddess Strike [Dark],Reduces DMG received from Heroes by 15%,Kasel,2020-06-22 08:57:37.518733,2020-06-22 08:57:37.518733,s4d,hero
329,Thunderbolt [Light],Mana cost is reduced by 1,Kaulah,2020-06-22 08:59:24.339265,2020-06-22 08:59:24.339265,s1l,hero
330,Thunderbolt [Dark],Target takes 25% increased M.DMG for 10 sec,Kaulah,2020-06-22 08:59:30.703636,2020-06-22 08:59:30.703636,s1d,hero
331,Healing Rain [Light],Allies take 25% less DMG while skill is in effect,Kaulah,2020-06-22 08:59:42.271785,2020-06-22 08:59:42.271785,s2l,hero
332,Healing Rain [Dark],"In exchange for 1 additional Mana Cost, additionally heal allies by 5% of their Max HP",Kaulah,2020-06-22 08:59:48.722903,2020-06-22 08:59:48.722903,s2d,hero
333,Swift Wind [Light],Recovers 1 orb of Mana for all allies,Kaulah,2020-06-22 09:00:01.141546,2020-06-22 09:00:01.141546,s3l,hero
334,Swift Wind [Dark],Cooldown is reduced by 3 sec,Kaulah,2020-06-22 09:00:07.769177,2020-06-22 09:00:07.769177,s3d,hero
335,Chain Lightning [Light],Electric Shock effect becomes irremovable,Kaulah,2020-06-22 09:00:16.214539,2020-06-22 09:00:16.214539,s4l,hero
336,Chain Lightning [Dark],Increases Stun duration by 0.7 sec,Kaulah,2020-06-22 09:00:21.665303,2020-06-22 09:00:21.665303,s4d,hero
337,"Mm, You Better Pay Attention! [Light]",Reduces MP cost by 1,Kibera,2020-06-22 09:00:46.090869,2020-06-22 09:00:46.090869,s1l,hero
